WTeamName,WScore,LTeamName,LScore
Winthrop,95,SC_Upstate,76
Presbyterian,68,Longwood,60
High_Point,76,Radford,58
Charleston_So,72,Gardner_Webb,63
Radford,87,Winthrop,67
UNC_Asheville,103,High_Point,99
Gardner_Webb,63,Presbyterian,61
Longwood,83,Charleston_So,78
SC_Upstate,77,Presbyterian,67
Longwood,85,UNC_Asheville,76
Gardner_Webb,89,Winthrop,83
High_Point,93,Charleston_So,79
Radford,80,SC_Upstate,67
UNC_Asheville,96,Presbyterian,87
Winthrop,95,Longwood,76
High_Point,96,Gardner_Webb,55
UNC_Asheville,93,SC_Upstate,92
Radford,79,Gardner_Webb,75
Winthrop,102,Charleston_So,97
Longwood,82,High_Point,80
UNC_Asheville,93,Winthrop,84
High_Point,77,Presbyterian,66
Gardner_Webb,97,SC_Upstate,68
Charleston_So,58,Radford,54
Longwood,77,Radford,74
High_Point,86,SC_Upstate,77
UNC_Asheville,61,Gardner_Webb,53
Presbyterian,71,Charleston_So,61
Radford,82,Presbyterian,69
Longwood,80,SC_Upstate,54
High_Point,84,Winthrop,62
UNC_Asheville,69,Charleston_So,61
UNC_Asheville,72,Radford,65
Winthrop,76,Presbyterian,67
Gardner_Webb,92,Longwood,87
Charleston_So,82,SC_Upstate,75
Radford,79,SC_Upstate,69
High_Point,84,Presbyterian,72
Winthrop,96,Gardner_Webb,93
Charleston_So,89,Longwood,85
Presbyterian,75,SC_Upstate,64
High_Point,78,Radford,75
Winthrop,83,Charleston_So,65
UNC_Asheville,78,Gardner_Webb,70
Winthrop,105,SC_Upstate,95
Radford,71,Longwood,69
High_Point,104,UNC_Asheville,100
Charleston_So,79,Gardner_Webb,72
UNC_Asheville,92,SC_Upstate,85
Winthrop,78,Radford,74
Charleston_So,71,Presbyterian,70
High_Point,83,Longwood,72
Presbyterian,77,Longwood,68
High_Point,88,Winthrop,66
Gardner_Webb,96,SC_Upstate,87
UNC_Asheville,75,Charleston_So,72
Winthrop,81,Presbyterian,77
Longwood,90,Gardner_Webb,77
High_Point,83,Charleston_So,60
Radford,77,UNC_Asheville,53
Presbyterian,80,Radford,73
UNC_Asheville,87,Longwood,82
High_Point,90,Gardner_Webb,67
SC_Upstate,79,Charleston_So,69
Presbyterian,64,UNC_Asheville,59
High_Point,88,SC_Upstate,66
Radford,63,Gardner_Webb,56
Winthrop,85,Longwood,59
Winthrop,103,UNC_Asheville,90
Longwood,83,SC_Upstate,66
Presbyterian,68,Gardner_Webb,57
Radford,76,Charleston_So,60
