Department,costs
E,160.75
PHYS,146.8125
CHEM,123.50151515151515
ACCT,107.61111111111111
VMP,101.2475
MCOM,93.875
RELS,90.0225
EDUC,88.77529411764706
LIT,73.86
BUS,73.162
PSYC,72.08205128205128
CSCI,71.90785714285714
ATMS,67.13266666666667
ECON,60.09375
ECE,59.830000000000005
GRK,57.99666666666667
AFST,57.666666666666664
NEUR,54.785714285714285
BIOL,52.40054054054054
HEB,46.95
SPAN,43.55615384615385
HUM,43.379285714285714
PHIL,37.52111111111111
JEM,36.698
ASTR,34.45454545454545
ARTH,30.69545454545454
AMS,30.483333333333334
HIST,27.388333333333335
LAT,24.076666666666664
MAE,23.25
HRST,20.490000000000002
LL,19.869999999999997
INTS,18.865000000000002
SOC,16.576923076923077
ANTH,16.0
ARTS,15.1825
NM,13.9
POLS,13.03125
ENVS,11.871351351351352
MUSC,11.856813186813188
LANG,11.786750000000001
FYS,10.763428571428571
MATH,10.153461538461539
HS,8.0625
LA,6.823888888888889
FREN,5.988888888888889
WGSS,5.882222222222222
ART,3.302340425531915
IST,2.658333333333333
DRAM,1.8472222222222223
MSE,0.0
PORT,0.0
PUBH,0.0
CHER,0.0
SABR,0.0
GERM,0.0
SPHG,0.0
STAT,0.0
AIIS,0.0
ASIA,0.0
